"url","primary_query","secondary_queries","intent","source","monthly_frequency"
"/jyotish/nakshatras/","накшатры джйотиш описание","накшатры джйотиш таблица | накшатры джйотиш описание | все накшатры джйотиш | пады накшатр","информационный / обзор","Google Suggestions + русскоязычная поисковая выдача, 2026-07-30","н/д"
"/jyotish/nakshatras/purva-phalguni/","Пурва-Пхалгуни накшатра","Пурва-Пхалгуни накшатра пады | Пурва-Пхалгуни накшатра описание | Пурва-Пхалгуни накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/uttara-phalguni/","Уттара-Пхалгуни накшатра","Уттара-Пхалгуни накшатра пады | Уттара-Пхалгуни накшатра описание | Уттара-Пхалгуни накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/hasta/","Хаста накшатра","Хаста накшатра пады | Хаста накшатра описание | Хаста накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/chitra/","Читра накшатра","Читра накшатра пады | Читра накшатра описание | Читра накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/swati/","Свати накшатра","Свати накшатра пады | Свати накшатра описание | Свати накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/vishakha/","Вишакха накшатра","Вишакха накшатра пады | Вишакха накшатра описание | Вишакха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/anuradha/","Анурадха накшатра","Анурадха накшатра пады | Анурадха накшатра описание | Анурадха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/jyeshtha/","Джьештха накшатра","Джьештха накшатра пады | Джьештха накшатра описание | Джьештха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/mula/","Мула накшатра","Мула накшатра пады | Мула накшатра описание | Мула накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/purva-ashadha/","Пурва-Ашадха накшатра","Пурва-Ашадха накшатра пады | Пурва-Ашадха накшатра описание | Пурва-Ашадха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/uttara-ashadha/","Уттара-Ашадха накшатра","Уттара-Ашадха накшатра пады | Уттара-Ашадха накшатра описание | Уттара-Ашадха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/shravana/","Шравана накшатра","Шравана накшатра пады | Шравана накшатра описание | Шравана накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/dhanishtha/","Дхаништха накшатра","Дхаништха накшатра пады | Дхаништха накшатра описание | Дхаништха накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/shatabhisha/","Шатабхиша накшатра","Шатабхиша накшатра пады | Шатабхиша накшатра описание | Шатабхиша накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/purva-bhadrapada/","Пурва-Бхадрапада накшатра","Пурва-Бхадрапада накшатра пады | Пурва-Бхадрапада накшатра описание | Пурва-Бхадрапада накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/uttara-bhadrapada/","Уттара-Бхадрапада накшатра","Уттара-Бхадрапада накшатра пады | Уттара-Бхадрапада накшатра описание | Уттара-Бхадрапада накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
"/jyotish/nakshatras/revati/","Ревати накшатра","Ревати накшатра пады | Ревати накшатра описание | Ревати накшатра управитель","информационный / справочный","семантическое расширение кластера; поисковые подсказки по категории","н/д"
